label,label_text,clean_text
0,Negative,قائظ و واعظ و حازم و اكرم و عمر و بعض الاسرائيليين مختلطه ببعض الفانتازيا في عصر قادم نعود من خلاله لعصر فائت، مع ظهور غير مبرر في اخر الروايه لمعلقي كره القدم الذي فوجئت خلاله ان رؤوف خليف اماراتي لا انكر علي الكاتب موهبه الحكي؛ لكن اجده تعجل في عرض فكرته، لعله اختار لها اطارا خاطئا غير لائق بها، القصه مفككه و اشعر ان ينقصها الكثير لنطلق عليها قصه، اكثر ما اتذكره منها هو بعض الاسرار السياسيه لحرب اكتوبر و جلسات الحشيش التي كثرت جدا في قلب الروايه لم تعجبني، بالتوفيق للكاتب في قادم الاعمال
1,Positive,ممتاز وانصح به علي مستوي كبير من النظافه والاستقبال الجيد والغرف كبيره واثاثها جميل المطبخ لايوحد فيه الا كوبين وابريق لاتوجد فيه اي اشياء اخري بالرغم من انه كبير جدا وراقي
1,Positive,جميله ولكن كان السعر مبالغ يبعد عن الكورنيش حوالي االربع ساعه بالسياره يمتاز بالهدوء والي موجود بالثلاجه فري وكل يوم يتجدد النظافه قريب من الراشد مول خلف فينيسيا مباشره اخذت غرفه وصاله ولا يوجد فيها شباك للتهوئه مكتوم نوعا ما سعره مبالغ فيه وانا ماخذه قبل العيد لا يوجد فيه افطار
0,Negative,ضعيف جدا لا انصح به حتي المنطقه سيئه المنطقه الموجود بها شعبيه جدا
1,Positive,استثنائي نظافه المكان والتكنلوجيا المتاحه في الغرفه وطاقم العمل بشكل عام ومدخله المباشر الي دبي مول ، باختصار فندق متكامل ومن افضل الفنادق التي اقمت فيها انصح فيه
0,Negative,مخيب للامل لا يوجد مصعد كهربائيحجم الغرفه صغيرلايوجد العاب للاطفال الفطور غير ملائم للخليجيين المسبح يحتاج الي صيانه
2,Mixed,مقبول القرب من المسجد النبوي المواقف
1,Positive,رائع يوجد موظفين يتحدثون لغتنا العربيه كنت افضل ان يكون هناك خيارات اكثر في الاكل ويكون بالقرب من مطاعم ذات اكل عربي
0,Negative,دعونا نتفق اولا علي ان تجميع ا لمشاهد والاحداث ورصها علي هيئه سكريبتات حواريه تدور بين الشخوص شيء و صياغه نص ادبي ذو معالجه روائيه لاحداث وقضايا ينتج عنها حاله حواريه راقيه وناضجه تعبرعنها شخوص العمل الادبي لهوشيء اخرتماما عندئد نصبح امام ادب حقيقي ناضج قيم وممتع بمعني الكلمه وهذا هو الخطا الفادح الذي يقع في براثنه كثير من كتاب هذا الجيل الذي اتشرف وانحاز لقلمه والقراءه له ربما رغبه منهم في الوصول والتقرب لاوسع فئه من القراء واخري بدعوي انهم بذلك يواكبون لغه الواقع الذي نعيشه لكن هناك معايير ادبيه يجب الاعتناء بها واخذها بعين الاعتبار والا خلا العمل الروائي من مضمونه وصارنسيا منسيا هو و من صنعه ساعود لتلك النقطه لاحقا ببعض التفصيل عندما اصل بالحديث عن السلبيات التي نالت من هذه الروايه الشاهد هنا والحق اقول ما توقعت ان ياتي قلم لكاتبه ناضجه مثل حلا المطري بهذا الضعف وبهذا القدر من الترهل خاصه وان عرايا الروح تعدثاني اعمالها؟ يبدو ان اهتمام الكاتبه ورغبتها الجامحه في صنع روايه جدليه تناقش قضايا اجتماعيه جريئه جعلها تغفل وضع اسس متينه لبناء عمل روائي محكم فانهار سريعا رغم البدايه الجيده والعنوان الذي حمل بين طياته فلسفه حياتيه عميقه وكان المفترض ان تاتي المعالجه الروائيه تفعيلا وتطويرا له وهذا مالم يحدث جميعنا عرايا الداخل نستترخلف ما يستر عيوبنا وعرينا الخارجي فقط لكننا نغفل ستر ارواحنا ولا نخجل من عريها مادامت محجوبه عن الاخرين و لايراها سوانا وكذلك شخوص الروايه فهذا محمد عامر الذي كان طالبا ازهريا ثم الحد وغير اسمه الي يزن جراء تلقيه صدمه في وفاه والده وتلك فرح مذيعه صباحيه في احدالبرامج الشبابيه وتعيش مع عمه سكيره متصابيه تحيا الاولي حياه عابثه لكن بحدود وذلك احمدالشرقاوي صاحب شركات الشرقاوي لتصدير الحديد شاب يعيش حياه لاهيه طولا وعرضا ينام مع الفتيات ثم يتركهم ويبحث عن غيرهن حتي يتعرف علي يسرا اخت يزن صديقه والطالبه في الصف الثانوي فيتغيرحاله بحبه الصادق لها وحبها له وتلك ليلي خريجه الاداب وتعمل مدرسه لغه عربيه فتاه قرويه والذي نكتشفه بعض منتصف الروايه انها ابنه عمه يزن وخطيبته بحكم العادات والتقاليد هي تحبه وتعشقه بجنون حتي وان كان من طرف واحد و امجد واحدمن الشباب اللي حاله علي قده مرتبط بفتاه تدعي اميره وتعمل في خدمه العملاء بشركه فودافون تحبه ويحبها لكن ضيق الحال جعله يعاني كاغلب حال الشباب ايجاد سكن يجمعه بشريكه حياته مما حدا بالامر ان تطول فتره الخطوبه بينهما الي اعوام واخيرا عبدالله ذلك الشاب السلفي الخلوق والخجول هؤلاء هم الشخوص المحوريه للروايه نماذج لشباب تائه وحائر تقاطعت ارواحهم العاريه فذابت الفوارق الاجتماعيه والايدلوجيه بينهم وتلاشت وراء احتياجتهم النفسيه والغريزيه بعريها المستتر بالاضافه لطرح قضايا اجتماعيه مهمه مثل ختان الاناث والالحاد الشك واليقين ومفاهيم العري توليفه شجاعه كانت كفيله بتقديم عمل ادبي قوي قبل ان تطيح بها الكاتبه بغرابه شديده كلاعب انفرد بالمرمي فا اطاح بالكره صوب الجماهير ومن ثم سقطت بالروايه الي مستنقع مليء بنقاط الضعف اولها رداءه اللغه كون الكاتبه حاصله علي ليسانس اداب تلك نقطه تحسب ضدها ليس لها وتجعل عذرها اقبح من ذنب طالما الروايه صيغت تلك الصياغه الرديئه مرورا بسرد مهتريء وسطحي اعتمد علي مشاهد هابطه ومتدنيه بين شخوص العمل نتج عنها بطبيعه الحال حاله حواريه مزريه بالاضافه لكل ماسبق وجودلقطات وسقطات تدعو للعجب وماكان لها ان تكون مثل ذلك المشهد الذي يهبط علي القاريء والروايه من السماء وتدخلت من خلاله الكاتبه واعلنت عن وجودها كراويه للحدث عندما عقبت علي وفاه احد شخوص الروايه الثانويين وقالت نصا لم نسلط الضوء من البدايه علي عم مؤمن فلم قدنفعل ومصيره الموت ممم فلنقل اني قتلته الان كي لاتحبوه لاحقا اليس بيدي ان اقتل واترك من اشاء حيا علي الورق دام الورق ملكوتي ؟ وهكذا نصبت من نفسها كواحده من ابطال العمل للقطه وحيده بلا داعي في سابقه هي الاولي من نوعها ؟ وذلك المشهد الختامي الذي استحق تتويجه باوسكار النهايات الروائيه الاكثرسذاجه وعبثا يكفي القول ان يزن الذي الحد بدون مبرر مقنع حتي وان كان وفاه والده مبرر فيظل سببا واهيا عاد لايمانه بالله عندما مات صديقه امجد اثر حادث سير وهوالذي ظل حتي الصفحات الاخيره يدافع عن الحاده بضراوه وكما خرج من الدين عنوه لاسباب واهيه عاد ايضا اليه عنوه بنفس المنطق الواهي وفي حقيقه الامر لاموت الاب ولا الصديق يمثل تبريرا مقنعا للالحاد او العوده للدين مره اخري لكن الكاتبه عايزه كده هذا بالاضافه ان الروايه كبيره حجما صفحه وحشو عالفاضي بالقياس الي محتواها المتواضع كبيرها صفحه علي اقصي تقدير عزيزي الكاتب اختي الكاتبه العمل الادبي له معايير مختلفه تماما وليس مجرد رص مواقف وصياغه سكريبتات حواريه تحت بعضها البعض اين ذهب الخلق بفتح الخاء والابداع اين التفاعل والاحساس والتغلغل داخل عمق الشخصيات اين المعاني اللغويه والمرادفات الادبيه التي تلهب مشاعرالقاريء وتسحر لبه اين الحاله الحواريه العاليه بين الشخوص والتي بدورها ترفع من مستوي حواراتنا واحاديثنا حتي وان كانت متدنيه علي ارض الواقع كما وردت بالروايه فهذا ما يجب الايحذو العمل الادبي حذوه وان يرقي بتلك الحاله لا ان يهبط لها وصدقا لم اجد كل ذلك في عرايا الروح وتعد اضعف مشيها اضعف ماقرات حتي الان في الربع الاول المنقضي من هذا العام
0,Negative,نجمتان كلاهما للغه، فلا توجد هنالك روايه العمل يشبه المسلسلات الكويتيه في رمضان، نفس الافكار المكرره التي تدور حول الفتاه المظلومه والاهل الذين يقسون عليها نهم غير مستوعبين لتغيرات الزمان واستات جدا من استخدام العاميه كيف يفكر الشخص نفسه بالفصحي ويتحدث بالعاميه اعتبر هذه احدي سقطات الكتاب احتوي الكتاب الذي استطيع تسميته روايه علي كلمات مقعره، وهي ايضا من مشكلات بعض الروائيين الذين يحاولون استعراض لغتهم وفي الحقيقه فان الاستاذه بثينه لم تكن في حاجه لذلك، فلغتها جميله و تحتاج الي تزيين قال لي باولو كويلو مره كلما كانت لغتك ابسط اقبل الناس علي قراءه اعمالك احدي ماخذي علي الكتاب ان الحب جاء سريعا جدا ففقدت العلاقه حميميتها قال لها عصام في اول تبادل للرسائل اريد ان احب الشعر من خلالك ان اسكنك ان اطرحك اكتبك ابكيك اسافر في دمك وهو لم يقرا لها سوي اربعه اسطر الحبكه كانت ستصلح للطرح في منتصف التسعينات الاخ الاكبر المتشدد دينيا والذي يكفر العالم كله ما عادت هذه الفكره شائعه ومستساغه مجتمعات المنطقه تغيرت لم تعد هذه التصرفات مشكله ظاهره اجتماعيه كما كانت حتي نهايه التسعينات تقريبا باختصار الروايه قائمه علي اللغه، واللغه فقط الحبكه تكاد تكون معدومه نصيحتي لنفسي اولا ثم لزم ئي الكتاب عندما تكتب روايه لا تهتم باللغه كثيرا، ولا الوصف، ولا الاسترسال في المحسنات البديعيه والالفاظ المنقرضه عندما تكتب روايه ارو حكايه واحد اهم اركان الحكايه الاحداث انا واثق ان الاعمال القادمه للاستاذه بثينه ستكون افضل ان شاء الله
2,Mixed,مرضي الافطار لا باس، دون المامول، لكن مو بطالربما هو احسن من باقي الشاليهات في ينبع لكن المامول اكبر من ذلك العشاء بوفيه غالي، وليس فيه تميزطلبنا فراش، وبطانيه، وعدوا بها ولم ياتونا بهاخدمات البقاله والبوفيه وبعض الخدمات الاخري لا تشتغل الا عطله الاسبوع لماذا؟ المستاجرون وسط الاسبوع لهم حقرغم انه احسن من بقيه الشاليهات، لكنه قديم، يحتاج لترميم وتغيير كبير شاطئ السباحه صغير، والنظافه وسط، وفيه حصي، وشعب مزعجه،
0,Negative,حدث لي لبس الروايه لم تصل لاي قائمه
1,Positive,موقع الفندق جميل ولكن الازعاج اخر الليل من قبل الشباب خصوصا ان شباك الغرفه تفتح علي الشارع المقابل كل شئ شويه اهتمام من جانب طاقم تنظيف الغرف
0,Negative,لم افهم في النهايه هذا التحول العجيب الذي حدث بين هيبت ومهدي الروايه كانت مطوله ولو كانت اقصر لكانت افضل بعض مقاطعها ممله ولا داعي لها اصلا كما ان بعض الشخصيات لم افهم سبب تواجدها غير المبرر في الروايه
1,Positive,انت لي انت لي وحسب قرات اكثر من ثلاث ارباعها وانا قلبي ممزق لانني حسب انها ستكون نهايه حزينه ولكن كانت من اجمل نهايات ولكن للاسف احسست بان هنالك بعض الاجزاء الغير لازمو وكان من الممكن اختصار الروايه اكثر ولكن اشكر بشده الدكتوره مني المرشود علي هذه التحفه الفنيه
2,Mixed,اسلوب الكتابه راائع جرعه الكابه زائده مجملا اعجبني
2,Mixed,طه الغريب مافيش لحظه ملل عجبتني القصه كلها بس الفكره مسروقه من فيلم و كده هما نجوم بس و بما اني معجبتنيش اللغه اللي هي ولا عاميه ولا فصحي بقت لكن في العموم استمتعت بيها عن هيبتا
2,Mixed,بدايه الروايه جميله حفزتني و شجعتني و اعطتني املا في تحقيق حلمي و البدء فيه مثابره عصام و جده و اجتهاده و دعم معلمه له اعجبني جدا و ذكرني بمعلمتي الروايه تميل الي المثاليه اكثر منها الي الواقعيه و الوصوف و المشاعر فيها طويله و كثيره فيها يشرح الكاتب عن الاسلام و مبادئ الاسلام و شموليته لم اكمل الروايه ولم تشدني كثيرا بدءا من وسطها تقريبا لكثره الحشو بينما القصه فعليا اقصر من ذلك نجوم ل تشجيع الروايه لي ملتزمه بالاسلام و تشرح عنه بصدق قوه الكلمات و الوصف الدقيق
2,Mixed,الكتاب عباره عن تويتات عاشق لمعشوقته لكني لم احبذ كثيرا استخدامه لبعض الالفاظ القرانيه بهذه الطريقه التي لا تزيدها الا ابتذالا لا يليق بها
1,Positive,ورحلت صاحبه ثلاثيه غرناطه العظيمه ذكرني رحيلها برحيل مريمه والغصه الكبيره التي اجتاحتني وقتها هي نفسها الغصه التي بداخلي الان رحمك الله وادخلك فسيح جناته
0,Negative,حلوه ومناسبه بالنسبه للسعر
1,Positive,اول قراءه ل نور عبدالمجيد ولن تكون الاخيره الضجه الي قامت حول الروايه والرفيوهات الجميله شجعتني اني اشتريها ورقي رغم توافرها سوفت كوبي ومندمتش الحقيقهروايه اجبرتني اني انهيها ف يوم ونص تقريبا رغم حجمها الكبير حبكهدراميه جميله لا تخلو من لمحات الشقاوه و الامل ف عز الوجع عايده رائعه ونقيه وجميله قلبا وقالبا هاشم صعب عليا جدا ف العذاب والحيره الي بقي فيها وان كنت مش عارفه هفكر ازاي لو كنت ف نفس موقفه هدي رغم انها سبب الماساه بس الغريبه اني معرفتش اكرهها ولا اعذرها الحقيقه روايه جميله واجبرتني اقتبس منها كام جمله ليس عيبا ان نجهل ولكن العيب الكبير حقا ان ندعي اننا اكثر علما ممن حولنا الثقه الحقيقه وحدها هي التي ندر فيها اننا لا نعلم كل شئ ولكن نحاول ان نتعلم كل يوم وكل لحظه هناك امور قد يراها البشر جميعا امور تافهه لا تستحق الالم والمعاناه ولكنها تبقي وحدها امل قلوبنا وعذابها وهشتري باقي روايات نور عبدالمجيد كده بقي عندي كاتب مفضل جديد ف اول السنه الجديده بالنسبه لي النجمه طارت ف النهايه المفتوحه فقط
1,Positive,اكثر من رائع ممتاز جدا لا يوجد
0,Negative,لايستحق الوجود كفندق ديكور الغرفه وتوزيع الغرف في الدور اسلوب طاقم الاستقبال الغيراحترافي بتاتا عدم وجود مكيفات في اسياب الفندق ازعاج المسجد المجاور صلابه مرتبه السرير التي تفوق الحد الطبيعي سوء دوره المياه
2,Mixed,كتاب صفحاته كتيره وهو بشكل عام مسلي
0,Negative,رسائل كانت المفروض لا تكتب
2,Mixed,عبدالله تعامل الاستقبال ديكورات الفندق قريبه من الخدمات عدم توفر المواقف بشكل مستمرتحديد قنوات التلفزيونضعف جوده ادوات الحمامات
0,Negative,معرفش الكتاب معجبنيش في الاول ليه؟ حسيته كلام زي اللي في كتاب الدين الكلام كبير و حلو بس الاسلوب مش بسيط اخر تلت في الكتاب اللي عجبني اوي و كنت مستمتعه بيه بس
2,Mixed,فندق سيئ مكان الفندق والاثاث جميل بوفيه الافطار الحمامات قديمه العماله تعاملهم ليس كمايجب
2,Mixed,نواقص و ملاحظات الراحهالنظافهالهدوء السعر مبالغ فيه الموقع صغير وبين وحدات سكنيه فغير ملاؤم لا يوجد نادي نسائي من مسبح و سونا و الاشياء النسائيه والبنات وجود حشرات و زواحف يجب ابادتها المواقف ضيقه و صغيره
2,Mixed,اكثر ما اعجبني في القصه هو تقبل سلمي لواقع زواجها، والبحث عن سعادتها مع رضا بغض النظر عن الماضي اما من قتل سلمي فبالتاكيد كل شخصيات القصه لهم الدور في ذلك، ولكن في رايي سوسن هي من غيرت مجري الاحداث، فلو انها استمعت لتحذير سلمي، او اخبرتها فيما بعد بما فعلت، لكان الوضع مختلف، وربما لم تكن سلمي لتموت
2,Mixed,عموما النقد والتعليق علي روايه حدثت علي ارض الواقع مالوش اهميه عندي بس انا اتاثرت بيها في احيان كتير خصوصا في الفتره اللي قبل اسلامها ولحظها دخولها الاسلام الراويه راقيه
1,Positive,الشاعر عندما يكتب روايه تستمع بكل كلمه تتخيل كل جمله تستحضر كل حوار الابطال يرافقونك اينما تكون متعه التشويق لمعرفه ماذا بعد الاستماع الي صوت الشعر في الروايه اصدق من كل هذا حينما تكون الروايه سيره ذاتيه لفلسطيني شعب اصبح غريب في المنفي وغريب في وطنه فكره الروايه هي رجوع الكتب الي مسقط راسه رام الله تسعه اجزاء من لحظه دخوله لقريته دير غسانه وحتي ليله خروجه منها والاحداث تتساقط كالنسيم احيانا وكالمطر احياين الفلاش باك حيله فنيه رائعه لمنع المط و التطويل وربط الماضي بالحاضر استخدمها بطريقه بديعه برتبه شاعر مخضرم استخدمها منذ اللحظه الاولي لشد انتباه القارئ لباقي الروايه المشاهد بين الماضي والحاضر ماضي فلسطين بقدسيتها اشجار الزيتون وحفلات الزفاف المكتبات والحاضر المقيد بالاحتلال واخفاء المعالم و طمس هويتها العربيه بين ايام الطفوله وموت الاحبه والاصدقاء الجميل في الروايه فهمك الدائم لشعور واحساس الكاتب وهذا دليل علي صدق الاحداث وقوه اسلوبه وتمكنه من ادواته عذوبه كلماته وروعه تصويره ووصفه البديع تذكرني باسلوب نجيب محفوظ في وصف الاماكن تشعرك برغبه عارمه في زيارتها بالمثل اشتاق الي رؤيه دار رعد بيت الكاتب ودير غسانه ورام الله الروايه مزيج بين التاريخ والسياسه بين الانسان والمكان بين الماضي والحاضر الكتاب سيره ذاتيه تستحق الاشاده اختم بمقتطفات من الروايه قرارات كل الاسر المبعثره تتخذ عاده بناء علي احتياجات اطراف متعدده وبناءا علي قرارات مختلفه للواقع وتكهنات مختلفه بالمستقبل وتحكمها اولويات متغيره قد لايكون ترتيبها حكيما دائما كل من كتب عليهم المنفي يتقاسمون الصفات ذاتها ففي المنافي تختل المكانه المعهوده للشخص المعروف يصبح مجهولا ونكره الكريم يبخل خفيف الظل ينظر ساهما
2,Mixed,روايه غريبه مثيره صعب انك تسبها من ايدك ومحتاجه تركيز مش عارفه مقتنعه بيها هلا لاء مش قادره اصدق انها تعكس واقع مصر بس تقريبا هو دا الواقع متهيااي ان كلام كتير في الروايه ماكنش ها يبقي موجود لولا الثوره
1,Positive,عبقري دائما
0,Negative,ليس للبشره السوداء كان مخيم وايلد بيست خيارا جيدا بالنسبه لي حتي اضعت كمبيوتري المحمول من المخيم وقد عوملت بكل اشكال العنجهيه لانني اسود لم يصدقوا اي تفسير لي ابدا وقد انتهي الامر بي الي مشاكل مع صاحب العمل بسبب ذلك الكمبيوتر المحمول لن اوصي اي شخص اسود ان ياتي الي هذا اذا كنت مثلي، فابق بعيدا اذهب الي دار ضيافه ميتي مينغي في ويستلاندز، لن تندم ابدا علي ذلك اه وحتي بالنسبه لاصدقائي البيض، جربوا من فضلكم دار ضيافه ميتي مينغي
2,Mixed,مرضي المطعم لم يكن شامل جميع الاصناف السعر مبالغ فيه كثييييييييييييييييير
0,Negative,اعجبتني الطريقه التي جمعت بين سهوله التعبير عن الفكره فقد استطاع الكاتب والرسام ان يدمجوا بين سياسه الدوله المخربه ودور الاعلام علي تلميع ممثلي الدوله فعلا هم يبكي وهم يضحك
2,Mixed,مقبول عدم الامانه علي اغراضك في الغرفه
0,Negative,مخيب للامل قرب المبني فقط موقف سيارتي الخاصه لا يوجد
2,Mixed,مرضي طاقم العمل ممتاز صراحه مجتهدين و خدومين قدر الاستطاعه الكوفي الموجود في اللوبي جميل جدا اجواءه نظافه الغرف والموكيت سيئ رائحه غير مقبوله في الغرف بالنسبه لي شخصيا ما ارجع للاقامه فيه ابدا اعتقد يوجد خيارات كثيره جدا جدا افضل ومقاربه لسعره وممكن تكون ارخص
0,Negative,ضعيف لم يعجبني شئ كتب انه يتوفر المواقف للسيارات ولكن للاسف لا يتوفر ذالك فقط مواقف لديه كتب توصيل لبيت الله وصحيح التوصيل لمواقف الباصات فقط وهي برسوم تم تحديد عدم وجود مدخلين وظهرت لكن الغرفه التي تم توفيرها مليئه برائحه دخان الانترنت فقط في اللوبي النظافه منعدمه
1,Positive,فندق جديد وخدمات راااائعه بوفيه الافطار متنوع وجود باص علي مدار ساعه للحرميوجد مصلي مرتبط مع الحرم عدم وجود غلايه ماء في الغرفه
0,Negative,كلمه دون النستوي قليله في حقه لانه سيي جدا جدا لا يوجد شي الفندق والغرف الطاقم النظافه الحمام متهالك وقديم الديكورات قديمه ورائحه الاثاث سيه الارض باركيه التكيف سي
2,Mixed,ممتاز لكن مكلف تصميم الموقع ممتاز الاستغلال المادي
1,Positive,وما التاريخ الا افعال البشر هذا هو جوهر رساله كل روايه تاريخيه تتجاوز اسلوب المؤرخين المنمق لتعبث في اعماق البشر وتكشف اسرارهم تسبر اغوار نفوسهم وترفع النقاب عن دوافعهم ومطامعهم مهما تخاصمت مع الحكمه وانغمست في العبث يقف العظيم والحقير ، الخادم والمخدوم ، السلطان والفارس والعبد والجاريه بين يديها ابطالا يعترفون بالسنتهم بنواياهم واحوالهم التي استحقوا عليها مالاتهم يظهر جليا من الفصل الاول مدي الجهد المبذول من الكاتب في البحث والاطلاع والتمحيص لاخراج روايه يحترم بها عقل القاريء ويستحق بها تقديره واعجابه تفاصيل متقنه ، لغه عذبه ، اسلوب مميز في السرد يظهر جليا في شخصيه الدرويش التي ابدع الكاتب في رسمها ايما ابداع مع ان الكاتب اختار فتره شائكه في تاريخ العثمانيين ، الا انه نجح نجاحا مذهلا في ان يرسم لها لوحه مكتمله المعالم يجذب بها اهتمام القاريء ويوصل له بها رساله حيه ناضجه وبقدر ما امتعتني الروايه بقدر ما اثقلت كاهلي واعيتني عن النقد والتحليل ، فقد عبر الكاتب بدقه تفاصيله وعذوبه اسلوبه ليرسخ رؤيته التاريخيه لهذه الفتره في اللاوعي مما يحتاج مجهودا اكبر لتفنيد هذه الرؤيه وتشكيل راي خاص حول هذه الحقبه من التاريخ ارجو ان ينسج الكاتب خيوط رواياته القادمه من حياه شخوص عامه المسلمين يوم ان كان للمجتمع دور حقيقي في تشكيل التاريخ بدلا من سير الملوك والجواري والقصور علي اهميتها والتي تعج بها الكتب والاثار ، فاتمني ان تسد الروايه التاريخيه هذا الثغر الهام
2,Mixed,لا اشبه احدا قاع تغوص به احببت هذا الكتاب، ليس فقط لانه رائع، بل لان هذا الكتاب كان دقائق متجمده لينسيني جو الحرب والدمار الذي يدور من حولي
1,Positive,شكرا لكم علي استضافه شكرا كل شي
2,Mixed,فكره الروايه حلوه مدينه بتتعامل بوحدات الذكاء بدلا من النقود في البدايه فكرت انه رح يستخدم هذا الذكاء بطريقه ذكيه الا ان الكاتب اختار ان يستخدم الناس وحدات الذكاء في كل شئ في حياتهم ثمنا لكل شئ الا انهم لم يفكروا قط باستخدام هذا الذكاء بكونه ذكاء لا عمله فما فائده هذه العمله بل ان استخدام العملات الحاليه افضل الروايه تخلو من القيمه الادبيه فما هي سوي سرد مجرد كلماته عاديه جدا الا انها افضل من غيرها من الروايات المعاصره والتي حققت اعلي المبيعات فيها من الخيال الجميل وبعض الاثاره والتشويق ولم اشعر بالملل وانا اقراها حبيت ان البطل عمل خير كتير في ارض زيكولا واللي ناس هناك ما بتعمل شي دون مقابل هناك شي ايجابي في عالمنا العربي المعاصر ا حقيقه تستحق نجمتان ونص فقط
1,Positive,ممتاز كل شي ما عدا عدد المصاعد قليل يسبب زحام عند الخروج اوقات الصلاهسعر الافطار للشخص مرتفعه جدا مقابل بوفيه الافطار المتواضع ونضافه الصحون سيئه والكاسات فيها ريحه
